p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.68E-139,1.439592977,0.994,0.768,3.91E-135,0,LTB
2.84E-130,0.808359737,1,0.992,4.14E-126,0,TMSB10
1.42E-91,1.350249505,0.774,0.378,2.07E-87,0,LTA
5.79E-71,0.625068493,1,0.999,8.46E-67,0,ACTB
4.06E-69,0.786872049,0.994,0.85,5.93E-65,0,S100A6
1.22E-68,0.698107395,0.973,0.828,1.78E-64,0,PSME2
2.14E-66,0.531018264,0.998,0.957,3.12E-62,0,PFN1
4.70E-64,0.821356011,0.986,0.887,6.87E-60,0,IL32
3.07E-63,0.623023321,0.987,0.892,4.49E-59,0,MYL12A
1.23E-55,0.838213854,0.503,0.199,1.79E-51,0,CTSH
2.81E-55,0.839717386,0.785,0.464,4.10E-51,0,GBP1
3.11E-55,0.488658367,0.989,0.949,4.54E-51,0,CFL1
9.41E-53,0.638979307,0.946,0.753,1.37E-48,0,CORO1A
2.74E-50,0.999349677,0.354,0.116,4.00E-46,0,RGS1
2.82E-47,0.541862617,0.966,0.804,4.13E-43,0,CLIC1
1.37E-46,0.89278467,0.614,0.314,2.00E-42,0,LGALS3
2.61E-46,0.515661054,0.994,0.956,3.81E-42,0,ACTG1
1.80E-45,0.487164767,0.984,0.916,2.63E-41,0,PSME1
1.36E-43,0.715541328,0.91,0.686,1.99E-39,0,CD74
1.17E-42,0.265792707,1,1,1.72E-38,0,B2M
1.45E-42,0.873494825,0.833,0.59,2.12E-38,0,S100A4
6.47E-42,0.417270824,0.997,0.961,9.45E-38,0,MYL6
2.31E-40,1.055753367,0.593,0.332,3.37E-36,0,LGALS1
1.31E-38,0.385178955,0.992,0.969,1.91E-34,0,EIF1
5.47E-38,0.546950708,0.785,0.473,7.99E-34,0,CISH
8.69E-38,0.568570256,0.958,0.802,1.27E-33,0,S100A11
4.87E-37,0.725216347,0.319,0.119,7.12E-33,0,IL4I1
1.09E-36,0.551878558,0.338,0.126,1.59E-32,0,IFI30
1.82E-36,0.46897619,0.963,0.855,2.66E-32,0,RAC2
3.13E-36,0.652550656,0.817,0.563,4.57E-32,0,ALOX5AP
9.58E-36,0.634685502,0.804,0.581,1.40E-31,0,IRF1
6.09E-35,0.655008198,0.455,0.221,8.90E-31,0,TYMP
1.08E-34,0.63783582,0.745,0.499,1.57E-30,0,CMTM6
3.33E-34,0.637803267,0.617,0.352,4.87E-30,0,TNFSF10
4.76E-33,0.635641361,0.731,0.498,6.95E-29,0,ANXA2
5.11E-33,0.539088205,0.742,0.462,7.46E-29,0,STAT1
2.10E-32,0.548185174,0.758,0.509,3.07E-28,0,CD63
5.90E-32,0.715668237,0.55,0.31,8.62E-28,0,GBP4
6.73E-32,0.664884316,0.332,0.135,9.83E-28,0,CDKN1A
1.42E-30,0.887088611,0.204,0.062,2.07E-26,0,FOXP3
2.44E-30,0.751492395,0.764,0.536,3.57E-26,0,TNFRSF4
4.29E-30,0.426530621,0.942,0.797,6.26E-26,0,ARPC1B
6.97E-29,0.338323968,0.588,0.332,1.02E-24,0,CD40LG
1.23E-28,0.500038584,0.721,0.46,1.80E-24,0,FLT3LG
4.34E-27,0.457764721,0.979,0.893,6.34E-23,0,VIM
1.12E-26,0.470542444,0.34,0.148,1.63E-22,0,ETV7
2.91E-26,0.431304612,0.893,0.623,4.25E-22,0,TXN
1.23E-25,0.65447565,0.256,0.102,1.80E-21,0,OSM
2.58E-25,0.541504189,0.372,0.182,3.77E-21,0,HAPLN3
3.24E-25,0.458289553,0.526,0.298,4.73E-21,0,XAF1
3.24E-25,0.432622479,0.893,0.724,4.73E-21,0,LY6E
3.61E-25,0.455540401,0.207,0.071,5.28E-21,0,CCR6
5.08E-25,0.459972204,0.857,0.675,7.43E-21,0,TUBA1B
5.53E-25,0.452334114,0.803,0.574,8.07E-21,0,BST2
1.23E-24,0.448332186,0.304,0.133,1.80E-20,0,GNA15
3.57E-24,0.354634164,0.968,0.837,5.22E-20,0,PSMB9
4.58E-24,0.432400467,0.819,0.624,6.69E-20,0,PSMB10
5.31E-24,0.442069866,0.853,0.657,7.75E-20,0,TUBB
1.09E-23,0.481437633,0.396,0.198,1.59E-19,0,SAMHD1
3.28E-23,0.450015646,0.343,0.162,4.78E-19,0,FAS
1.68E-22,0.419692707,0.276,0.121,2.45E-18,0,HSPA1A
2.57E-22,0.48654457,0.367,0.184,3.76E-18,0,CAPG
3.53E-22,0.328622714,0.986,0.928,5.15E-18,0,CALM1
5.44E-22,0.389197206,0.875,0.735,7.94E-18,0,PSMB8
2.41E-21,0.440831602,0.768,0.576,3.52E-17,0,ACTR3
2.75E-21,0.458497953,0.633,0.427,4.02E-17,0,TWF2
9.76E-21,0.605689521,0.596,0.407,1.42E-16,0,GBP5
2.00E-20,0.484870062,0.599,0.397,2.92E-16,0,TPM4
7.85E-20,0.365335761,0.452,0.248,1.15E-15,0,PARP9
1.13E-19,0.321758505,0.976,0.912,1.65E-15,0,EMP3
1.21E-19,0.482600574,0.796,0.634,1.77E-15,0,CYTIP
2.51E-19,0.458979915,0.508,0.313,3.67E-15,0,GNG2
3.34E-19,0.399749375,0.333,0.17,4.88E-15,0,APOL6
5.87E-19,0.414607033,0.45,0.256,8.57E-15,0,SAMD9L
1.77E-18,0.335675836,0.165,0.06,2.59E-14,0,ICAM1
1.79E-18,0.392934925,0.314,0.157,2.62E-14,0,SOCS2
5.03E-18,0.312185972,0.377,0.202,7.35E-14,0,MVP
5.30E-18,0.460922068,0.41,0.247,7.74E-14,0,SLAMF1
5.75E-18,0.283507184,0.979,0.899,8.40E-14,0,HSPA8
6.23E-18,0.286773939,0.973,0.907,9.10E-14,0,MYL12B
8.20E-18,0.273047457,0.989,0.919,1.20E-13,0,ATP5F1E
8.52E-18,0.351748202,0.851,0.675,1.24E-13,0,ARL6IP5
1.99E-17,0.324430452,0.417,0.234,2.90E-13,0,IFIT3
2.54E-17,0.377009975,0.644,0.436,3.71E-13,0,TUBB4B
2.63E-17,0.444638902,0.428,0.262,3.83E-13,0,RTN4
4.52E-17,0.390915903,0.665,0.469,6.60E-13,0,TAP1
7.69E-17,0.34911804,0.827,0.656,1.12E-12,0,CDC37
7.91E-17,0.258186217,0.141,0.048,1.15E-12,0,CEACAM1
2.03E-16,0.348479699,0.76,0.566,2.97E-12,0,GPSM3
3.28E-16,0.373751427,0.63,0.439,4.78E-12,0,OSTF1
4.14E-16,0.323499965,0.518,0.325,6.05E-12,0,IFI35
4.28E-16,0.352582121,0.186,0.077,6.25E-12,0,HBEGF
4.88E-16,0.376944477,0.524,0.331,7.12E-12,0,EPSTI1
1.02E-15,0.319982657,0.87,0.718,1.49E-11,0,GSTK1
1.07E-15,0.308380559,0.167,0.066,1.56E-11,0,OAS3
