p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.90E-05,0.342108226,0.248,0.141,0.417489921,9,CD59
2.92E-05,0.325424193,0.281,0.166,0.420032997,9,FARSA
2.95E-05,0.260925273,0.186,0.095,0.423917942,9,TPGS1
3.04E-05,0.302078351,0.329,0.196,0.436771695,9,ITM2A
3.08E-05,0.316616636,0.748,0.581,0.442620155,9,NDUFB8
3.15E-05,0.276416428,0.633,0.453,0.452016008,9,LSM7
3.21E-05,0.330460351,0.443,0.289,0.46189161,9,SDF2L1
3.23E-05,0.268881913,0.371,0.228,0.464355819,9,PSMD14
3.28E-05,0.271447073,0.133,0.061,0.471756603,9,NUFIP1
3.38E-05,0.271336266,0.229,0.124,0.485598095,9,TRABD
3.42E-05,0.326807513,0.329,0.198,0.49128534,9,SLAMF1
3.52E-05,0.26417487,0.581,0.391,0.506000985,9,RSL1D1
3.72E-05,0.290323861,0.176,0.089,0.534673698,9,ZNF106
3.74E-05,0.319985343,0.538,0.364,0.537249902,9,NDUFB10
3.74E-05,0.357525153,0.714,0.541,0.537564663,9,CALR
4.14E-05,0.256210714,0.248,0.137,0.595521123,9,TAOK3
4.21E-05,0.293109215,0.357,0.218,0.605390706,9,WAS
4.69E-05,0.293345896,0.371,0.233,0.673736101,9,PARP1
4.99E-05,0.254273501,0.457,0.291,0.717567374,9,NDUFB1
5.16E-05,0.281239231,0.124,0.056,0.740951899,9,RAC1
5.39E-05,0.26311238,0.643,0.469,0.775324492,9,ANP32B
5.53E-05,0.295371956,0.395,0.253,0.794584594,9,SIVA1
5.71E-05,0.258068493,0.171,0.087,0.820342523,9,PCBD1
5.74E-05,0.290611484,0.7,0.5,0.824879802,9,EIF3G
5.75E-05,0.296989276,0.438,0.281,0.826688902,9,HADHA
6.04E-05,0.325344145,0.419,0.268,0.868163015,9,BLOC1S1
6.06E-05,0.325308732,0.476,0.316,0.871115456,9,DEK
6.21E-05,0.306922466,0.262,0.154,0.892690819,9,STXBP2
6.35E-05,0.254341948,0.605,0.427,0.912341545,9,XRCC6
6.46E-05,0.273554066,0.19,0.101,0.928808351,9,TGIF1
6.66E-05,0.327718315,0.776,0.591,0.956782651,9,TMBIM6
6.70E-05,0.271725146,0.257,0.148,0.963588333,9,METTL23
7.08E-05,0.28825709,0.162,0.082,1,9,CCS
7.12E-05,0.332923448,0.624,0.462,1,9,LIMD2
7.14E-05,0.268171923,0.405,0.258,1,9,RAB7A
7.20E-05,0.268876497,0.281,0.166,1,9,RBM42
7.21E-05,0.272914792,0.224,0.125,1,9,UTP23
7.39E-05,0.412241029,0.362,0.238,1,9,TRIM22
7.62E-05,0.308842702,0.81,0.674,1,9,UQCR11
7.67E-05,0.26321942,0.648,0.461,1,9,DNAJA1
8.08E-05,0.256456137,0.281,0.165,1,9,SNHG3
8.37E-05,0.334175568,0.652,0.466,1,9,EIF3M
8.52E-05,0.266654766,0.262,0.151,1,9,RAB10
8.81E-05,0.275909116,0.119,0.054,1,9,CAMTA2
8.82E-05,0.312314901,0.205,0.113,1,9,MRPL19
9.15E-05,0.26019078,0.624,0.452,1,9,SRRM1
9.82E-05,0.279621595,0.143,0.07,1,9,ATP2B4
0.000100637,0.277248221,0.39,0.251,1,9,RBCK1
0.000104499,0.315644587,0.271,0.163,1,9,TCERG1
0.000107245,0.254757362,0.248,0.144,1,9,SCO2
0.000116559,0.276552778,0.529,0.359,1,9,CACYBP
0.000124027,0.269775978,0.843,0.691,1,9,SSR4
0.000126196,0.276244413,0.614,0.44,1,9,NOL7
0.000137441,0.256946078,0.495,0.333,1,9,RNF181
0.000166569,0.252078166,0.91,0.785,1,9,CD3E
0.000167851,0.26104046,0.19,0.104,1,9,IDH2
0.000178251,0.30725581,0.676,0.531,1,9,PA2G4
0.000189124,0.313846089,0.21,0.122,1,9,VSIR
0.000209292,0.271749156,0.205,0.116,1,9,LMBRD1
0.000241013,0.328645354,0.138,0.07,1,9,TSN
0.00025699,0.300541819,0.443,0.299,1,9,TPR
0.000264561,0.25243371,0.643,0.452,1,9,NDUFB4
0.000351681,0.264688486,0.157,0.084,1,9,PNPT1
0.000352385,0.258515616,0.205,0.117,1,9,ZAP70
0.000372717,0.256350221,0.39,0.258,1,9,COX20
0.000376337,0.268622257,0.119,0.059,1,9,CUL1
0.000390654,0.26940423,0.224,0.13,1,9,BLVRA
0.000390866,0.305838239,0.262,0.165,1,9,SREK1IP1
0.00044317,0.266444667,0.243,0.146,1,9,ACAA2
0.000482826,0.286974963,0.271,0.171,1,9,MRPL16
0.000536134,0.264497088,0.233,0.141,1,9,TSTA3
0.000545995,0.301210191,0.471,0.337,1,9,SYNGR2
0.000638619,0.264940848,0.138,0.073,1,9,NOP2
0.000674152,0.300986371,0.248,0.156,1,9,AC004687.1
0.000679748,0.26005387,0.486,0.347,1,9,TALDO1
0.001001104,0.288911144,0.143,0.078,1,9,FCMR
0.001017627,0.384098127,0.495,0.376,1,9,MX1
0.001019003,0.253307018,0.186,0.11,1,9,MIIP
0.001145606,0.352822983,0.281,0.184,1,9,NT5C3A
0.001494782,0.321443621,0.6,0.449,1,9,IFI6
0.001593129,0.354677803,0.671,0.565,1,9,CD52
0.001674503,0.326563687,0.695,0.544,1,9,UBE2L6
0.001782968,0.268007728,0.11,0.056,1,9,CXCR6
0.001817714,0.282590992,0.405,0.285,1,9,VAPA
0.003365214,0.262569657,0.195,0.123,1,9,ALG5
0.003366924,0.309313129,0.41,0.305,1,9,OAS1
0.008959581,0.272361534,0.262,0.181,1,9,ERP44
2.86E-273,2.665673092,0.534,0.018,4.11E-269,10,TRAV1-2
8.10E-135,1.916399284,0.344,0.018,1.16E-130,10,GZMK
1.04E-90,1.548878222,0.164,0.004,1.50E-86,10,TRBV6-4
7.36E-74,1.804833115,0.709,0.195,1.06E-69,10,CST7
3.06E-69,1.60469443,0.698,0.194,4.40E-65,10,NKG7
1.55E-63,1.645829249,0.296,0.036,2.23E-59,10,NCR3
2.60E-62,2.174852764,0.672,0.22,3.74E-58,10,KLRB1
6.53E-55,1.468771505,0.455,0.094,9.39E-51,10,CD8A
8.20E-51,1.61970817,0.656,0.217,1.18E-46,10,CCL5
2.40E-47,1.570825475,0.46,0.116,3.44E-43,10,PRF1
1.82E-37,1.217431049,0.159,0.017,2.61E-33,10,TYROBP
5.98E-36,0.852682524,0.143,0.014,8.59E-32,10,SLC4A10
1.99E-32,0.753316029,0.127,0.012,2.86E-28,10,FEZ1
4.81E-32,1.97652366,0.979,0.944,6.92E-28,10,FTH1
1.97E-28,1.066304618,0.878,0.697,2.83E-24,10,SRGN
1.28E-25,1.193587355,0.339,0.109,1.83E-21,10,GYG1
5.44E-25,0.962793218,0.185,0.035,7.82E-21,10,KLRG1
1.18E-22,1.20143928,0.333,0.111,1.70E-18,10,JAML
3.03E-21,2.060537161,0.481,0.229,4.35E-17,10,GNLY
1.08E-20,0.955035129,0.243,0.067,1.55E-16,10,CTSW
2.62E-19,0.99342449,0.762,0.606,3.77E-15,10,CYBA
5.51E-19,0.614484536,0.138,0.025,7.92E-15,10,PLEK
1.17E-18,0.887954705,0.746,0.484,1.68E-14,10,ALOX5AP
1.23E-18,1.150987734,0.36,0.147,1.77E-14,10,RORA
2.58E-18,1.05582097,0.354,0.133,3.71E-14,10,GZMA
2.76E-16,0.410759078,1,0.998,3.96E-12,10,MT-CO1
5.37E-16,1.682047296,0.148,0.034,7.72E-12,10,TRBV6-1
5.84E-16,0.470268321,1,0.987,8.39E-12,10,HLA-C
7.14E-16,0.593951036,0.106,0.018,1.03E-11,10,SYTL2
9.41E-16,1.271422145,0.677,0.509,1.35E-11,10,IL7R
3.49E-15,0.354499189,1,0.996,5.02E-11,10,HLA-A
4.50E-15,0.459903896,0.989,0.983,6.47E-11,10,MT-CO3
1.15E-14,0.698039264,0.116,0.024,1.65E-10,10,TMIGD2
1.94E-14,0.34701727,0.995,0.996,2.79E-10,10,MT-CO2
2.04E-14,0.344266492,0.995,0.999,2.93E-10,10,HLA-B
8.18E-11,0.826527016,0.73,0.624,1.18E-06,10,BTG1
1.82E-10,0.37435899,0.958,0.97,2.62E-06,10,MT-ND4L
